,ngram,risk_factor,umls_id,umls_term
249,Blocked premature atrial contraction,heart,C0033036,Atrial Premature Complexes
250,Blood pressure finding,heart,C0005823,Blood Pressure
251,Blood pressure finding,heart,C0243095,Finding
252,Bounding pulse,heart,C0425574,Bounding pulse
253,Bradycardia,heart,C0428977,Bradycardia
254,Broken blood vessel,heart,C0425656,Broken blood vessel
255,Calcification of coronary artery,heart,C1879982,Calcified Medical Device Material
256,Calcification of coronary artery,heart,C0205042,Coronary artery
257,Calciphylaxis,heart,C0006666,Calciphylaxis
258,Capillaritis,heart,C0006902,Capillaritis
259,Capillary hemorrhage,heart,C0265024,Capillary hemorrhage
260,Capillary thrombosis,heart,C0265026,Capillary thrombosis
261,Cardiac complication,heart,C0161816,Cardiac complication
262,Cardiac dilatation,heart,C0264732,Cardiac dilatation
263,Cardiac shunt,heart,C0232180,Cardiac shunt
264,Cardiomegaly,heart,C0018800,Cardiomegaly
265,Cardiomyopathy associated with another disorder,heart,C0878544,Cardiomyopathies
266,Cardiomyopathy associated with another disorder,heart,C0332281,Associated with
267,Cardiomyopathy associated with another disorder,heart,C0012634,Disease
268,Cardiorespiratory failure,heart,C1444565,Cardiorespiratory failure
269,Cardiovascular finding,heart,C0007226,Cardiovascular system
270,Cardiovascular finding,heart,C0243095,Finding
271,Cardiovascular injury,heart,C0560570,Cardiovascular injury
272,Cardiovascular symptoms,heart,C0476270,Cardiovascular symptoms
273,Carditis,heart,C0869523,Carditis
274,Carotid artery occlusion,heart,C0265101,Carotid artery occlusion
275,Carotid artery rupture,heart,C0340659,Carotid artery rupture
276,Cavernous sinus syndrome,heart,C0271347,Cavernous sinus syndrome
277,Central retinal vein occlusion,heart,C0154841,Central retinal vein occlusion
278,Cerebellar stroke,heart,C2674383,Cerebellar stroke
279,Cerebral arteritis,heart,C0007773,Cerebral arteritis
280,Cerebral vasoconstriction syndrome,heart,C3838926,Cerebral vasoconstriction syndrome
281,Cerebral venous sinus thrombosis,heart,C0338573,Cerebral venous sinus thrombosis
282,Cerebrospinal angiopathy,heart,C0276094,Cerebrospinal angiopathy
283,Cerebrovascular accident,heart,C1880018,Cerebrovascular
284,Cerebrovascular amyloidosis,heart,C0520574,Cerebrovascular amyloidosis
285,Chronic atrial and intestinal dysrhythmia,heart,C0205191,chronic
286,Chronic atrial and intestinal dysrhythmia,heart,C0003811,Cardiac Arrhythmia
287,Chronic cerebrovascular accident,heart,C0205191,chronic
288,Chronic congestive heart failure,heart,C0264722,Chronic congestive heart failure
289,Chronic constrictive pericarditis,heart,C0265144,Chronic constrictive pericarditis
290,Chronic endocarditis,heart,C0264864,Chronic endocarditis
291,Chronic heart disease,heart,C1290386,Chronic heart disease
292,Chronic heart failure,heart,C0264716,Chronic heart failure
293,Chronic left-sided heart failure,heart,C0264726,Chronic left-sided heart failure
294,Chronic myocardial ischemia,heart,C0264694,Chronic myocardial ischemia
295,Chronic myocarditis,heart,C0865681,Chronic myocarditis
296,Chronic passive congestion of liver,heart,C0333237,Chronic passive congestion
297,Chronic passive congestion of liver,heart,C0736268,Liver parenchyma
298,Chronic pericarditis,heart,C0265143,Chronic pericarditis
299,Chronic pulmonary embolism,heart,C0856722,Chronic pulmonary embolism
300,Chronic pulmonary heart disease,heart,C0238074,Chronic pulmonary heart disease
301,Chronic rheumatic heart disease,heart,C0175708,Chronic rheumatic heart disease
302,Chronic systolic heart failure,heart,C1135194,Chronic systolic heart failure
303,Chronic thromboembolic pulmonary hypertension,heart,C2363973,Chronic thromboembolic pulmonary hypertension
304,Chronic venous insufficiency,heart,C1306557,Chronic venous insufficiency
305,Chylopericardium,heart,C0242426,Chylopericardium
306,Circulatory arrest,heart,C0444720,Circulatory arrest
307,Common ventricle,heart,C1522138,shared attribute
308,Common ventricle,heart,C2355627,Ventricle
309,Complete atrioventricular block,heart,C1548561,Completion Status for valid values - Complete
310,Complete atrioventricular block,heart,C0004245,Atrioventricular Block
311,Conduction disorder of the heart,heart,C0264886,Conduction disorder of the heart
312,Conduction disorder of the heart,heart,C0018787,Heart
313,Congenital abnormality of vein,heart,C0000768,Congenital Abnormality
314,Congenital abnormality of vein,heart,C0042449,Veins
315,Congenital anomaly of aortic arch,heart,C0000768,Congenital Abnormality
316,Congenital anomaly of aortic arch,heart,C0003489,Aortic arch structure
317,Congenital anomaly of aortic valve,heart,C0000768,Congenital Abnormality
318,Congenital anomaly of aortic valve,heart,C0003501,Aortic valve structure
319,Congenital anomaly of coronary artery,heart,C0000768,Congenital Abnormality
320,Congenital anomaly of coronary artery,heart,C0205042,Coronary artery
321,Congenital arterial aneurysm,heart,C0559898,Congenital arterial aneurysm
322,Congenital arteriovenous fistula,heart,C0332965,Congenital arteriovenous fistula
323,Congenital arteriovenous malformation,heart,C0003857,Congenital arteriovenous malformation
324,Congenital atresia of mitral valve,heart,C0243066,Atresia
325,Congenital atresia of mitral valve,heart,C0026264,Mitral Valve
326,Congenital atresia of pulmonary valve,heart,C0243066,Atresia
327,Congenital atresia of pulmonary valve,heart,C0034086,Pulmonary valve structure
328,Congenital cardiac diverticulum,heart,C0546315,Congenital cardiac diverticulum
329,Congenital dysplasia of cardiac valve,heart,C0332865,Congenital dysplasia
330,Congenital dysplasia of cardiac valve,heart,C0018826,Heart Valves
331,Congenital heart block,heart,C0149530,Congenital heart block
332,Congenital hemangioma,heart,C0235753,Congenital hemangioma
333,Congenital hypoplasia of aortic arch,heart,C0020636,Congenital hypoplasia
334,Congenital hypoplasia of aortic arch,heart,C0003489,Aortic arch structure
335,Congenital hypoplasia of pulmonary artery,heart,C0020636,Congenital hypoplasia
336,Congenital hypoplasia of pulmonary artery,heart,C0034052,Pulmonary artery structure
337,Congenital insufficiency of aortic valve,heart,C0158617,Congenital insufficiency of aortic valve
338,Congenital insufficiency of aortic valve,heart,C0003501,Aortic valve structure
339,Congenital intracranial vascular malformation,heart,C1522213,Intracranial Route of Drug Administration
340,Congenital intracranial vascular malformation,heart,C0158570,Vascular anomaly
341,Congenital portal-systemic shunt,heart,C1290495,Congenital portal-systemic shunt
342,Congenital stenosis of mitral valve,heart,C0332885,Congenital stenosis
343,Congenital stenosis of mitral valve,heart,C0026264,Mitral Valve
344,Congenital stenosis of pulmonary artery,heart,C0332885,Congenital stenosis
345,Congenital stenosis of pulmonary artery,heart,C0034052,Pulmonary artery structure
346,Congenital subaortic stenosis,heart,C0158621,Congenital subaortic stenosis
347,Congenital varicella syndrome,heart,C0343560,Congenital varicella syndrome
348,Congestive heart failure,heart,C0018802,Congestive heart failure
349,Continuous murmur,heart,C0549178,Continuous
350,Cor biloculare,heart,C0152238,Cor biloculare
351,Cor triloculare,heart,C0344583,Cor triloculare
352,Coronary arteritis,heart,C0264684,Coronary arteritis
353,Coronary artery atheroma,heart,C0264683,Coronary artery atheroma
354,Coronary artery embolism,heart,C0264686,Coronary artery embolism
355,Coxsackie myocarditis,heart,C0153106,Coxsackie myocarditis
356,Cryoglobulinemic vasculitis,heart,C0340992,Cryoglobulinemic vasculitis
357,Culture-negative endocarditis,heart,C0340358,Culture-negative endocarditis
358,Cutaneous collagenous vasculopathy,heart,C0221912,Cutaneous
359,Cutaneous collagenous vasculopathy,heart,C4305323,Cutaneous collagenous vasculopathy
360,Cyanotic congenital heart disease,heart,C0265808,Cyanotic congenital heart disease
361,Decreased pulmonary arterial wedge pressure,heart,C0392756,Reduced
362,Decreased pulmonary arterial wedge pressure,heart,C0520851,Decreased pulmonary arterial wedge pressure
363,Decreased systolic arterial pressure,heart,C0392756,Reduced
364,Decreased systolic arterial pressure,heart,C0871470,Systolic Pressure
365,Deep thrombophlebitis,heart,C0151950,Deep thrombophlebitis
366,Degenerative mitral valve prolapse,heart,C3839201,Degenerative mitral valve prolapse
367,Dextrocardia,heart,C3541877,Dextrocardia by ECG Finding
368,Diastolic dysfunction,heart,C0520863,Diastolic dysfunction
369,Diastolic hypertension,heart,C0235222,Diastolic hypertension
370,Dilatation of aorta,heart,C0012359,Pathological Dilatation
371,Dilatation of aorta,heart,C0003483,Aorta
372,Dilated blood vessel,heart,C0424830,Dilated blood vessel
373,Dilated capillaries,heart,C0425683,Dilated capillaries
374,Diphtheritic myocarditis,heart,C0152952,Diphtheritic myocarditis
375,Discordant atrioventricular connection,heart,C3639994,Discordant
376,Discordant atrioventricular connection,heart,C0344612,Abnormal atrioventricular connection
377,Discordant ventriculoarterial connection,heart,C3639994,Discordant
378,Discordant ventriculoarterial connection,heart,C0449379,Connection
379,Disorder of pericardium,heart,C0012634,Disease
380,Disorder of pericardium,heart,C0031050,Pericardial sac structure
381,Disorder of vein,heart,C0012634,Disease
382,Disorder of vein,heart,C0042449,Veins
383,Dissection of aorta,heart,C0012737,Tissue Dissection
384,Dissection of aorta,heart,C0003483,Aorta
385,Divided right atrium,heart,C0344697,Divided right atrium
386,Double aortic arch,heart,C0265883,Double aortic arch
387,Double inlet left ventricle,heart,C0344622,Double inlet left ventricle
388,Double inlet right ventricle,heart,C0344621,Double inlet right ventricle
389,Double outlet left ventricle,heart,C0265809,Double outlet left ventricle
390,Dynamic right ventricular outflow tract obstruction,heart,C1299948,Dynamic right ventricular outflow tract obstruction
391,Electromechanical dissociation,heart,C0340861,Electromechanical dissociation
392,Embolic stroke,heart,C0262469,Embolic stroke
393,Embolism,heart,C0013922,Embolism
394,Endarteritis,heart,C0014100,Endarteritis
395,Endarteritis obliterans,heart,C1260885,Endarteritis obliterans
396,Endocarditis,heart,C0014118,Endocarditis
397,Endoleak,heart,C1504464,Endoleak
398,Endophlebitis,heart,C0014234,Endophlebitis
399,Eosinophilic myocarditis,heart,C0151788,Eosinophilic myocarditis
400,Erythromelalgia,heart,C0014804,Erythromelalgia
401,Exudative retinopathy,heart,C0154832,Exudative retinopathy
402,Fetal bradycardia,heart,C0015965,Fetus
403,Fetal heart failure,heart,C3532172,Fetal heart failure
404,Fetal myocarditis,heart,C3532265,Fetal myocarditis
405,Fetal tachycardia,heart,C0410918,Fetal tachycardia
406,Fibrillation,heart,C0232197,Fibrillation
407,Fibrosis of pericardium,heart,C0016059,Fibrosis
408,Fibrosis of pericardium,heart,C0031050,Pericardial sac structure
409,First degree atrioventricular block,heart,C0449286,Degree or extent
410,First degree atrioventricular block,heart,C0004245,Atrioventricular Block
411,Flushing,heart,C1962957,Flushing Adverse Event
412,Fourth sound gallop,heart,C0425593,Fourth sound gallop
413,Functional mitral regurgitation,heart,C0340369,Functional mitral regurgitation
414,Gallop rhythm,heart,C0232200,Gallop rhythm
415,Gastroesophageal varices,heart,C2609266,Gastroesophageal varices
416,Gastrointestinal tract vascular insufficiency,heart,C0156149,Gastrointestinal tract vascular insufficiency
417,Generalized atherosclerosis,heart,C0017327,Generalized atherosclerosis
418,Giant cell myocarditis,heart,C0264856,Giant cell myocarditis
419,Granulomatosis with polyangiitis,heart,C0521173,Granulomatosis
420,Granulomatosis with polyangiitis,heart,C0264939,Systemic Vasculitis
421,Heart failure,heart,C0018801,Heart failure
422,"Heart murmur quality, blowing",heart,C4069672,Murmur quality:Type:Pt:Heart:Nom:Auscultation
423,"Heart murmur quality, blowing",heart,C0413399,Blow -accident
424,Heart sounds abnormal,heart,C0018820,Heart Sounds
425,Heart sounds abnormal,heart,C1550458,Observation Interpretation - Abnormal
426,Heart sounds diminished,heart,C0018820,Heart Sounds
427,Heart sounds normal,heart,C0018820,Heart Sounds
428,Heart valve regurgitation,heart,C0264879,Heart valve regurgitation
429,Hematoma of cord,heart,C0018944,Hematoma
430,Hematoma of cord,heart,C0035334,Retinitis Pigmentosa
431,Hemiplegic migraine,heart,C0270862,Hemiplegic migraine
432,Hemodynamic instability,heart,C0019010,Hemodynamics
433,Hemodynamically stable,heart,C0019010,Hemodynamics
434,Hemodynamically stable,heart,C0205360,Stable status
435,Hemopericardium,heart,C0019064,Hemopericardium
436,Hemorrhage of blood vessel,heart,C0019080,Hemorrhage
437,Hemorrhage of blood vessel,heart,C0005847,Blood Vessel
438,Hemorrhoids,heart,C0019112,Hemorrhoids
439,Hepatic artery stenosis,heart,C0920186,Hepatic artery stenosis
440,Hepatic artery thrombosis,heart,C0392106,Hepatic artery thrombosis
441,Hepatic infarction,heart,C0151731,Hepatic infarction
442,Hepatoportal sclerosis,heart,C4273756,Hepatoportal sclerosis
443,Hereditary cystatin C amyloid angiopathy,heart,C3839957,Hereditary cystatin C amyloid angiopathy
444,Hughes Stovin syndrome,heart,C4303478,Hughes Stovin syndrome
445,Hypertensive crisis,heart,C0857121,Hypertensive (finding)
446,Hypertensive crisis,heart,C0231224,Crisis
447,Hypertensive heart disease,heart,C0152105,Hypertensive heart disease
448,Hypertrophic cardiomyopathy associated with another disorder,heart,C0007194,Hypertrophic Cardiomyopathy
449,Hypertrophic cardiomyopathy associated with another disorder,heart,C0332281,Associated with
450,Hypertrophic cardiomyopathy associated with another disorder,heart,C0012634,Disease
